"annee" "nom_region" "code_region" "domaine_de_tension" "prod_photovoltaïque_enedis_(mwh)" "prod_eolien_enedis_(mwh)" "prod_hydraulique_enedis_(mwh)" "prod_bio_energie_enedis_(mwh)" "prod_cogeneration_enedis_(mwh)" "prod_autres_filieres_enedis_(mwh)"
"2020" "Normandie" "28" "HTA" 71324.721654216 2052394.67458167 110685.303 165840.361680026 491716.585166667 70.3346487367563
"2020" "Provence-Alpes-Côte D'azur" "93" "HTA" 1290126.52888559 49031.8406666667 558830.201049778 437616.984042833 389290.867782 2119.70433333333
"2020" "Occitanie" "76" "HTA" 1523603.98104937 2549224.569382 1343386.31581917 429831.3501615 208115.297666667 6244.91516666667
"2020" "Auvergne-Rhône-Alpes" "84" "BT <= 36 kVA" 305753.428676878 16.2056161102341 NA NA NA 2247.48886903976
"2011" "Centre-Val De Loire" "24" "HTA" 6158.73746194829 885592.450260162 18566.0023111133 176539.647 327948.114 NA
"2011" "Provence-Alpes-Côte D'azur" "93" "BT > 36 kVA" 41240.4624051079 NA 5396.53169802731 NA 67.068 NA
"2011" "Auvergne-Rhône-Alpes" "84" "BT <= 36 kVA" 132577.456382236 NA NA NA 4.34595777654997 NA
"2011" "Nouvelle-Aquitaine" "75" "HTA" 130058.389044988 237676.488546339 410589.281972088 110669.401564956 349879.195783881 274.999263177806
"2011" "Grand-Est" "44" "BT <= 36 kVA" 44394.9428756953 NA NA NA NA NA
"2011" "Bourgogne-Franche-Comté" "27" "BT <= 36 kVA" 36717.3091485138 NA NA NA NA NA
"2012" "Provence-Alpes-Côte D'azur" "93" "BT > 36 kVA" 99727.8525216827 NA 5999.80827883647 NA 0.008 NA
"2012" "Nouvelle-Aquitaine" "75" "BT <= 36 kVA" 119939.17798168 NA NA NA NA NA
"2012" "Nouvelle-Aquitaine" "75" "HTA" 296359.742668385 347966.135998029 519206.887159161 182338.865351913 305319.339386426 614.356895687069
"2012" "Bretagne" "53" "BT > 36 kVA" 48586.9104119402 NA 1281.737 5349.83179526398 NA NA
"2012" "Auvergne-Rhône-Alpes" "84" "BT > 36 kVA" 138318.896172667 NA 11092.0146672693 5516.52498175883 1600.293 NA
